Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo,Arquivos Null,Relação Arquivos Mesmo / Total de Arquivos
325748ff6860fbafaac21e3bfbaabfdb05fa71a8,1,46,29,3,0,dist/js/bootstrap.min.js,Chris Rebert,Mark Otto;docs/dist/css/bootstrap.min.css,Chris Rebert,Mark Otto;docs/dist/css/bootstrap.css.map,Chris Rebert,Mark Otto;docs/_includes/js/tooltips.html,Chris Rebert,Mark Otto;dist/css/bootstrap.css,Chris Rebert,Mark Otto;docs/dist/css/bootstrap.css,Chris Rebert,Mark Otto;dist/css/bootstrap.css.map,Chris Rebert,Mark Otto;docs/assets/css/docs.min.css,Chris Rebert,Mark Otto;docs/dist/js/bootstrap.js,Chris Rebert,Mark Otto;docs/dist/js/bootstrap.min.js,Chris Rebert,Mark Otto;docs/_includes/footer.html,Chris Rebert,Mark Otto;docs/_includes/js/popovers.html,Chris Rebert,Mark Otto;package.json,Chris Rebert,XhmikosR;dist/css/bootstrap.min.css,Chris Rebert,Mark Otto;
1bf1ba7103cf4de0364dfd8ec78a31eb813d7b8f,0,6,0,0,0,
0e5d17d5f651a7bd3ff7f245d75a2d9fd591c8ce,1,85,41,3,0,docs/_includes/components/labels.html,Mark Otto,Chris Rebert;docs/_includes/components/jumbotron.html,Mark Otto,Chris Rebert;docs/_includes/components/wells.html,Mark Otto,Chris Rebert;less/glyphicons.less,Mark Otto,Chris Rebert;dist/css/bootstrap-theme.css,Mark Otto,Chris Rebert;docs/_includes/components/page-header.html,Mark Otto,Chris Rebert;docs/_includes/js/collapse.html,Mark Otto,Chris Rebert;dist/css/bootstrap.css,Mark Otto,Chris Rebert;test-infra/npm-shrinkwrap.json,Gleb Mazovetskiy,Chris Rebert;docs/_includes/getting-started/download.html,Mark Otto,Chris Rebert;docs/_includes/components/badges.html,Mark Otto,Chris Rebert;docs/assets/css/docs.min.css,Mark Otto,Chris Rebert;docs/_includes/css/tables.html,Mark Otto,Chris Rebert;docs/_includes/js/buttons.html,Mark Otto,Chris Rebert;docs/_includes/js/tabs.html,Mark Otto,Chris Rebert;docs/_includes/nav/javascript.html,Mark Otto,Chris Rebert;docs/_includes/components/button-dropdowns.html,Mark Otto,Chris Rebert;docs/_includes/js/carousel.html,Mark Otto,Julian Thilo;docs/_includes/components/navs.html,Mark Otto,Chris Rebert;docs/_data/glyphicons.yml,Mark Otto,Chris Rebert;docs/_includes/components/dropdowns.html,Mark Otto,Chris Rebert;docs/_includes/components/responsive-embed.html,Mark Otto,Chris Rebert;dist/css/bootstrap-theme.min.css,Mark Otto,Chris Rebert;dist/js/bootstrap.min.js,Mark Otto,Chris Rebert;docs/_includes/js/overview.html,Mark Otto,Chris Rebert;docs/_includes/components/panels.html,Mark Otto,Chris Rebert;docs/_layouts/default.html,Chris Rebert,Mark Otto;docs/customize.html,Mark Otto,Chris Rebert;docs/_includes/customizer-variables.html,Chris Rebert,Mark Otto;docs/_includes/components/list-group.html,Mark Otto,Chris Rebert;docs/_includes/js/tooltips.html,Mark Otto,Chris Rebert;docs/assets/js/raw-files.min.js,Chris Rebert,Mark Otto;docs/_includes/css/buttons.html,Mark Otto,Chris Rebert;docs/_includes/css/code.html,Mark Otto,Chris Rebert;docs/_includes/js/popovers.html,Mark Otto,Chris Rebert;docs/_includes/components/breadcrumbs.html,Mark Otto,Chris Rebert;docs/_includes/components/media.html,Mark Otto,Chris Rebert;package.json,Mark Otto,Chris Rebert;docs/_includes/getting-started/disabling-responsiveness.html,Mark Otto,Chris Rebert;docs/_jade/customizer-variables.jade,Chris Rebert,Mark Otto;docs/_includes/css/images.html,Mark Otto,Chris Rebert;
6b394ab067f7af82c2e2e640642d47f6ff609ccf,0,2,0,0,0,
b615bd938bccbebb7dc5f89081f4fa024784bf1f,0,1,0,0,0,
2edc779391cf5da664e6a7edb3c4b1f736a8b3f3,1,5,4,0,0,scss/_card.scss,Mark Otto,Gleb Mazovetskiy;
0e371ddf877c272bc859fed1e8e3c1a39efe7757,1,3,3,0,1,
72d17612569e726c2adc12fad2038ff5b14eef96,0,1,0,0,0,
b648a77ed36d2d3a38842a7ab5a19ba50c52bae6,0,83,0,0,0,
2cc66cbb5869d2f03407bc9247546c382279f5c0,0,16,0,0,0,
86af1f39abbff7ef06b94d23951408ca27f81cdc,0,40,0,0,0,
16dbdbd7a2c6cfa3be4e5dcc52249e577c02c84a,1,2,2,0,1,
f07477d29072bc0a7b57bd17988c6d01f7b18266,0,7,0,0,0,
d6b0f45fb711989cb8ac32f6717d6920ef5c68e0,0,81,0,0,0,
657ff31c7448563abc7b11e0cfea971e060a3d3d,2,2,2,0,1,
38217ee405de65a3fd3e2c217f8d5be8563da327,1,6,6,0,1,
f579b66b80724fc560cce8d8b0294c6f998be364,0,1,0,0,0,
9f2aeafe851bdca522b886c29afcece1ee0060e1,1,41,1,4,0,docs/dist/css/bootstrap.min.css,Mark Otto,Heinrich Fenkart;docs/assets/css/src/docs.css,Mark Otto,Heinrich Fenkart;docs/dist/css/bootstrap.css.map,Mark Otto,Heinrich Fenkart;docs/_includes/js/modal.html,Mark Otto,Chris Rebert;Gruntfile.js,Mark Otto,Heinrich Fenkart;less/thumbnails.less,Mark Otto,Heinrich Fenkart;docs/_includes/js/tooltips.html,Mark Otto,Heinrich Fenkart;docs/_includes/js/collapse.html,Mark Otto,Chris Rebert;docs/assets/js/raw-files.min.js,Mark Otto,Chris Rebert;dist/fonts/glyphicons-halflings-regular.svg,Mark Otto,Heinrich Fenkart;dist/css/bootstrap.css,Mark Otto,Heinrich Fenkart;docs/browser-bugs.html,Mark Otto,Heinrich Fenkart;docs/_includes/components/input-groups.html,Mark Otto,Heinrich Fenkart;docs/_includes/js/alerts.html,Mark Otto,Heinrich Fenkart;docs/_includes/nav/getting-started.html,Mark Otto,Heinrich Fenkart;docs/dist/css/bootstrap.css,Mark Otto,Heinrich Fenkart;dist/css/bootstrap.css.map,Mark Otto,Heinrich Fenkart;docs/_includes/components/badges.html,Mark Otto,Heinrich Fenkart;docs/assets/css/docs.min.css,Mark Otto,Heinrich Fenkart;docs/_includes/js/buttons.html,Mark Otto,Heinrich Fenkart;docs/_includes/css/forms.html,Mark Otto,Heinrich Fenkart;docs/assets/js/customize.min.js,Mark Otto,Chris Rebert;docs/_includes/nav/javascript.html,Mark Otto,Heinrich Fenkart;fonts/glyphicons-halflings-regular.svg,Mark Otto,Heinrich Fenkart;docs/_includes/footer.html,Mark Otto,Chris Rebert;docs/_includes/js/carousel.html,Mark Otto,Heinrich Fenkart;docs/_includes/js/popovers.html,Mark Otto,Heinrich Fenkart;less/panels.less,Mark Otto,Heinrich Fenkart;dist/css/bootstrap-theme.css.map,Mark Otto,Heinrich Fenkart;docs/_includes/components/pagination.html,Mark Otto,Chris Rebert;package.json,Mark Otto,Heinrich Fenkart;dist/css/bootstrap.min.css,Mark Otto,Heinrich Fenkart;less/mixins/vendor-prefixes.less,Mark Otto,Heinrich Fenkart;docs/_includes/getting-started/browser-device-support.html,Mark Otto,Heinrich Fenkart;docs/dist/css/bootstrap-theme.css.map,Mark Otto,Heinrich Fenkart;docs/dist/fonts/glyphicons-halflings-regular.svg,Mark Otto,Heinrich Fenkart;
f4eefd28d10198ea60ce4069c00236e74cda1bf5,1,2,2,0,1,
9aeaf19b1dca68ee71e916ae415a0c270a47d301,0,1,0,0,0,
724240fe4f2cba653cec0aad217dd133aaa9e051,1,10,7,0,0,less/carousel.less,Mark Otto,Chris Rebert;docs/browser-bugs.html,Mark Otto,Julian Thilo;docs/_includes/js/overview.html,Mark Otto,Julian Thilo;
ae9c1609329ff4e033635105aba7ec4aa9899ffb,2,4,4,0,1,
de77d04899f596359a57bafc09ebe8c453e85d2c,1,4,4,0,1,
