Hash do merge,Data do merge,Tempo de isolamento [ramos],Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Diferentes desenvolvedores,Mesmos desenvolvedores,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
8be549cf91fa346932c411d58a3f9d7915cbc508,2013-11-20 07:48:01 -0800,1.3276505,6.7904282,2,1,3,0,0,2,1,2,2,0,NAO,0,0
431e227458ac5a58ad77e90c04621db5a346d268,2013-11-02 14:14:06 -0700,0.8287384,2.0735764,1,1,2,0,0,5,1,2,2,0,NAO,0,0
ca3c88987ee977df1299ea2fd9b492d3b5aa053d,2013-10-31 10:06:46 -0700,1.7105903,4.5704167,1,1,2,0,0,2,1,2,1,0,NAO,0,0
db61fc5bdd2a5204efd1585db3df2015a1b5e72c,2013-10-30 16:27:43 +0100,7.1911111,11.7009606,1,7,8,0,0,1,18,1,23,0,NAO,0,0
7d8ef1cd867d8a7f34db337f7b72f4944419e64c,2013-10-26 20:25:22 -0700,12.3907870,12.5300810,8,1,9,0,0,21,1,23,1,0,NAO,0,0
9da828defd5398c9011b68cbaace17fbe940b08a,2013-10-25 13:25:54 -0700,9.3826620,10.6674769,7,1,8,0,0,14,2,16,2,0,NAO,0,0
b834f94451ea2c42cd7bfbca7d085e4d04192b1a,2013-10-26 00:04:23 +0400,9.3804282,10.6525347,1,1,2,1,2,1,1,2,1,1,SIM,1,2
9b6967760dd5435c480e165445ac5b2e72bb8279,2013-10-24 07:51:28 -0700,0.2369444,0.8078935,1,1,2,1,2,1,1,2,1,0,NAO,0,0
f9477102c6e828e4865446385d3505542f23e274,2013-10-18 15:38:20 -0700,5.3702315,9.8197454,4,2,6,0,0,15,3,65,7,1,NAO,0,0
d7c134a6e290b7393c05836a28438f656f802362,2013-10-14 13:39:54 -0400,0.4172222,0.4396065,1,2,3,0,0,1,2,2,2,1,NAO,0,0
