Hash do merge,Data do merge,Intersecção de Desenvolvedores,Mesmos desenvolvedores,Diferentes desenvolvedores
96b90aa5b4c62c9f1011b407aa3dd91840d642a1,2013-05-22 17:20:25 -0700,1,1,0
368f93c87fd97c80b5a5bbf9af384db065d5c870,2013-05-20 10:56:26 -0700,0,0,1
4c8a9e6afa6c0f1319491aec4b22446c40a8584f,2013-05-20 09:13:59 -0700,1,1,9
b71338d0de038654944ac4ef78bcb9be36fcee71,2013-05-20 08:12:02 -0700,0,0,1
41d63f66c48f6955322cefb038c51fde8e30447f,2013-05-17 00:54:55 -0700,0,0,1
84975d3157157ee9e2f8e9d02256bfd221f0ae60,2013-05-16 21:56:47 -0700,0,0,1
7ebea6f4539c19b5ac4d7161e435100f5548fbab,2013-05-11 09:49:28 -0700,1,1,22
7d89c118381d0c51496da3aea853291b606f3224,2013-05-10 00:45:22 -0700,0,0,1
2e496f57fe72d0ca0ec03342ceb8db6e09e7af45,2013-04-29 12:01:32 -0700,0,0,1
360b7f0210c1c6b5576ad7b992f077f4e884eca8,2013-04-29 10:56:45 -0700,0,0,1
bc2933a1b2668356c75971ad28a13cc2130a91ec,2013-04-27 00:14:55 -0700,0,0,1
26d3dd58a60ea0496d9833744d30830dd6b1947b,2013-04-26 23:45:54 -0700,0,0,1
5b747a75cfbef92eef394d0be7c079a5109adb08,2013-04-08 09:26:02 -0700,0,0,1
c43a72c10c0ac964b6674f7dc6fc1e56f14a445d,2013-04-05 23:38:58 -0700,0,0,1
147f159266ae7fdabe799810e918a8e1fe67cbef,2013-04-03 09:19:45 -0700,0,0,1
a23dde6625886f29a428810fd91d2e7e11717f1b,2013-04-01 23:55:39 -0700,1,1,0
5774d893cb03f620c1d404df164e0b8f36286634,2013-03-31 10:14:57 -0700,1,1,0
898b66d23542af8e0c40e185a6457725b6b94e42,2013-03-30 01:09:22 -0700,0,0,1
13e89788bed7df556061359fbe5be201c0f6a91a,2013-03-29 22:51:31 -0700,0,0,1
85ed279b1fa35f1c7bf918b210f1a91e3eeae4e8,2013-03-25 10:26:46 -0700,1,1,2
98cd46aa46f38561ed76bf0a20d3fdc3e9511bf2,2013-03-25 10:20:03 -0700,0,0,2
3b0eefa90509bace7f433f9d7d074230fb982e0f,2013-03-07 15:21:50 -0800,1,1,0
609ebef6460ef7fc00167b3734420862beb138d8,2013-02-22 23:53:26 -0800,0,0,1
c38dc85a99e9955c8db3d302d2c4906806a357c3,2013-02-22 14:59:28 -0800,0,0,1
7f2df6e646721a18ece2591c07701cb2d17eb56d,2013-02-20 10:20:30 -0800,0,0,1
eb8b57ee9e96e77e30c796747103e83a19148232,2013-02-20 09:47:53 -0800,0,0,1
a69d8b0a543f1c81698a8908ff45487d590686a9,2013-02-20 09:35:37 -0800,1,1,0
0e11640d98fb6231196658e14459c062d48d2202,2013-02-20 09:20:22 -0800,0,0,1
685288286143175d609decf98c3bfdf954496cc7,2013-02-19 21:56:56 -0300,0,0,1
b1719e2f9ee3e958af25033b00cc33dcd373ff9a,2013-02-19 09:57:51 -0800,0,0,1
564e77f41afdf87d1b3bd50de29c1ca81e93d019,2013-02-11 22:42:22 +0100,1,1,0
