Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo
a5a5097a450947a87d17b49be77c450e15ee8068,0,0,0,
e26f5615435934bd1d276873f8305fa1d35da2e1,2,0,0,
679b4631e15a0538f9a0832fb43652e36025f797,0,0,0,
e87e5562b31b53cd2ebb3eb97068f8356a7dc695,0,0,0,
d07d8549867047d25d56b7fbbcfc374ddd5613a2,0,0,0,
41a180b9d0fffb037c121094fe0ac8817848d4de,0,0,0,
1c6f4d2df2c5c84e918966d7d76ea377c2c9e560,0,0,0,
1acf91383cff3853aab2cf6b581dd6ca145b8475,0,0,0,
5ff44a1298c3ff66c0b68804d4116102c0f27126,0,0,0,
99881f1796381449deaf2c66bae1577682d9c886,1,1,1,
402fa903fdf4ff4c13e0cf77f9702cc57a737244,1,0,0,
8c8fb426fce3fc3090d2f98fcdad9a32dce4f211,0,0,0,
e81f71318a0673dffbbe9e93cf7714d2cf885a78,0,0,0,
cda052fa64e4dd1053b7f36f4b2c9418b14cbbd0,0,0,0,
702d5941bb89be9582f7ebde66b5c150e25ef99b,0,0,0,
9ffe08e7a88c624546b70158e2ed71f9717b1b96,0,0,0,
0c29022aec137bf340be01022a2c4756ae5be05b,0,0,0,
cb2730555095973acd8b5e941edd4ea9d8456967,0,0,0,
a69a55e92295d8285d9161e0d57b37970b898dde,0,0,0,
6e39fe3097de25ac4030141b9d4ef36a319b2f7a,0,0,0,
d44dbff51f0f0daa20d2826783f597eddc103d94,0,0,0,
8d8e39d0f85dfe96c1985c3d0159c3c1bba10c22,2,0,0,
21d4e2794ff215b8c540e99e19d6585a93367e0d,0,0,0,
b92ae2ad04abd968fd1642dd15eb82f8dd86e342,0,0,0,
d591e2792e3dd0d2ffbc1eb0d58500d7f489103a,0,0,0,
b08857c8c22033fd5abb3c9c16fd98067fb52e68,0,0,0,
e0b8e848439995c255691baf0891cc8307e8e896,0,0,0,
6055f289ae31efea462da5e4c926fec7bf4ebba8,2,0,0,
2809f6fdf5676a3f5eab6487b371c930cce4518c,2,0,0,
a5e03c9b363b87e66a525b90d83a6f2d0794a7d3,0,0,0,
b98b8dfc116f1c87f90a6f412efc0adcfad80db3,0,0,0,
